,Nombres,Notas
2,aberrantresearcher,3.5
3,brokenconcentration,2.0
4,catalog,2.0
5,compellingdeterrence,3.0
6,confirmsuspicions,3.0
7,daringsleuth,3.0
8,denyexistence,1.5
9,drownyardexplorers,3.0
10,drunaucorpsetrawler,3.0
11,engulftheshore,1.5
12,epiphanyatthedrownyard,2.5
13,erdwalilluminator,3.0
14,essenceflux,1.5
15,fleetingmemories,1.0
16,forgottencreation,4.0
17,furtivehomunculus,2.5
18,geralfsmasterpiece,4.0
19,ghostlywings,3.0
20,gonemissing,2.5
21,invasivesurgery,0.5
22,"jace,unravelerofsecrets",4.5
23,jacesscrutiny,2.5
24,justthewind,3.0
25,lamplighterofselhoff,2.0
26,manicscribe,1.0
27,naggingthoughts,1.5
28,nephaliamoondrakes,2.5
29,niblisofdusk,3.0
30,ongoinginvestigation,1.5
31,piecesofthepuzzle,1.0
32,poreoverthepages,3.5
33,pressforanswers,1.5
34,rattlechains,3.5
35,recklessscholar,4.0
36,risefromthetides,1.0
37,seagrafskaab,1.0
38,silburlindsnapper,1.5
39,silentobserver,3.0
40,sleepparalysis,3.5
41,startledawake,3.5
42,stitchedmangler,2.0
43,stitchwingskaab,3.5
44,stormriderspirit,2.5
45,thingintheice,1.0
46,trailofevidence,2.0
47,uninvitedgeist,2.5
48,vesselofparamnesia,1.5
49,welcometothefold,4.0
