,Nombres,Notas
0,alwayswatching,4.5
1,angelofdeliverance,2.5
2,angelicpurge,3.0
3,apothecarygeist,2.5
4,archangelavacyn,5.0
5,avacynianmissionaries,2.0
6,boundbymoonsilver,4.0
7,bygonebishop,3.5
8,catharscompanion,2.0
9,chaplainsblessing,0.5
10,dauntlesscathar,3.0
11,declarationinstone,3.5
12,descenduponthesinful,4.5
13,devilthornfox,2.0
14,drogskolcavalry,3.5
15,eerieinterlude,1.5
16,emissaryofthesleepless,2.5
17,etherealguidance,0.5
18,exposeevil,2.0
19,gryffsboon,1.5
20,hanweirmilitiacaptain,3.5
21,hopeagainsthope,2.0
22,humblethebrute,2.5
23,inquisitorsox,2.5
24,inspiringcaptain,2.0
25,militantinquisitor,1.5
26,moorlanddrifter,2.5
27,nahirismachinations,1.0
28,nearheathchaplain,3.5
29,notforgotten,1.0
30,"odric,lunarchmarshal",3.5
31,openthearmory,0.5
32,paranoidparish-blade,2.0
33,piousevangel,3.5
34,puncturinglight,3.0
35,reaperofflightmoonsilver,3.0
36,silverstrike,2.0
37,spectralshepherd,3.0
38,sternconstable,1.0
39,strengthofarms,1.5
40,survivethenight,1.5
41,tenacity,2.5
42,thaliaslieutenant,3.5
43,thrabeninspector,2.5
44,topplegeist,1.0
45,unrulymob,2.5
46,vesselofephemera,2.5
