,Nombres,Notas
0,accursedwitch,3.5
1,almsofthevein,1.0
2,asylumvisitor,3.5
3,behindthescenes,1.5
4,beholdthebeyond,1.0
5,bitingrain,1.5
6,callthebloodline,2.5
7,creepingdread,1.0
8,crowofdarktidings,3.0
9,deadweight,3.5
10,diregrafcolossus,4.0
11,elusivetormentor,4.0
12,everafter,3.0
13,farbogrevenant,3.0
14,fromunderthefloorboards,4.0
15,ghoulcallersaccomplice,3.0
16,ghoulsteed,3.0
17,gisasbidding,3.5
18,grotesquemutation,2.0
19,heiroffalkenrath,3.5
20,houndofthefarbogs,1.0
21,indulgentaristocrat,1.5
22,kindlystranger,3.5
23,lilianasindignation,1.0
24,macabrewaltz,2.5
25,markovdreadknight,3.5
26,mercilessresolve,1.5
27,mindwrackdemon,0.0
28,morkrutnecropod,2.5
29,murderouscompulsion,3.0
30,oliviasbloodsworn,3.0
31,palerideroftrostad,2.0
32,pickthebrain,1.0
33,rancidrats,3.0
34,relentlessdead,4.0
35,rottenheartghoul,1.5
36,sanitariumskeleton,1.0
37,shambleback,1.5
38,sinisterconcoction,3.5
39,stallionofashmouth,1.5
40,stromkirkmentor,1.0
41,throttle,2.0
42,totheslaughter,1.0
43,toothcollector,3.0
44,triskaidekaphobia,1.0
45,twinsofmaurerestate,2.0
46,vampirenoble,1.0
47,vesselofmalignity,2.0
