,Nombres,Notas
0,avacynsjudgment,4.5
1,bloodmadvampire,2.0
2,breakneckrider,3.5
3,burnfromwithin,4.0
4,convictedkiller,1.5
5,dancewithdevils,3.0
6,devilsplayground,4.0
7,dissensionintheranks,1.0
8,dualshot,1.5
9,ember-eyewolf,1.5
10,falkenrathgorger,3.0
11,fierytemper,3.5
12,flamebladeangel,4.0
13,gatstafarsonists,3.0
14,geierreachbandit,3.0
15,geistblast,3.5
16,gibberingfiend,3.0
17,goldnightcastigator,4.0
18,harnessthestorm,0.0
19,howlpackwolf,3.0
20,hulkingdevil,1.0
21,incorrigibleyouths,3.0
22,innerstruggle,3.5
23,insolentneonate,1.5
24,kessigforgemaster,3.0
25,lightningaxe,4.0
26,madprophet,4.0
27,magmaticchasm,1.0
28,malevolentwhispers,2.0
29,pyrehound,2.0
30,ravenousbloodseeker,3.0
31,reducetoashes,2.5
32,rushofadrenaline,1.5
33,sanguinarymage,2.5
34,scourgewolf,3.5
35,senselessrage,1.0
36,sinprodder,3.5
37,skininvasion,2.0
38,spitefulmotives,3.0
39,stensiamasquerade,1.0
40,structuraldistortion,0.5
41,tormentingvoice,3.0
42,ulrichskindred,3.0
43,uncagedfury,1.5
44,vesselofvolatility,0.0
45,villagemessenger,1.0
46,voldarenduelist,3.0
47,wolfofdevilsbreach,4.5
