,Nombres,Notas
0,aimhigh,1.5
1,autumnalgloom,1.0
2,briarbridgepatrol,3.5
3,bywaycourier,3.0
4,clipwings,0.5
5,confronttheunknown,1.0
6,crawlingsensation,1.0
7,cryptolithrite,0.0
8,cultofthewaxingmoon,3.0
9,deathcapcultivator,3.5
10,duskwatchrecruiter,3.5
11,equestrianskill,1.0
12,forkintheroad,1.5
13,gloomwidow,2.5
14,grafmole,3.0
15,groundskeeper,0.0
16,hermitofthenatterknolls,3.5
17,hinterlandlogger,3.0
18,howlpackresurgence,1.0
19,inexorableblob,3.5
20,intrepidprovisioner,3.0
21,kessigdireswine,2.5
22,lambholtpacifist,3.0
23,loamdryad,0.0
24,mightbeyondreason,1.5
25,moldgrafscavenger,1.0
26,moonlighthunt,1.0
27,obsessiveskinner,3.5
28,packguardian,4.0
29,quilledwolf,3.0
30,rabidbite,3.5
31,rootout,0.5
32,sageofancientlore,4.0
33,seasonspast,3.5
34,secondharvest,0.0
35,silverfurpartisan,3.0
36,solitaryhunter,3.5
37,soulswallower,3.5
38,stoicbuilder,1.0
39,thornhidewolves,2.5
40,tirelesstracker,4.0
41,traversetheulvenwald,3.5
42,ulvenwaldhydra,3.5
43,ulvenwaldmysteries,2.0
44,vesselofnascency,1.5
45,veterancathar,3.0
46,watcherintheweb,3.0
47,weirdingwood,0.5
